id,label,routeFloor,routeNodeKind,anchorId,ambiguous,reviewNote,buildingSection,roomAnchorId,mainAnchorId,createdAt,updatedAt
ade-lab-room,ADE Lab Room,ground,room,,1,Retained as a legacy alias for the clarified R107 / ADE Lab Room stop.,,,,2026-09-09 18:10:22,2026-09-09 18:10:22
admission-block,Admission Block,ground,location,,1,The document distinguishes Admission Block from Enquiry Office but the current map has no separate anchor.,,,,2026-09-09 18:10:22,2026-09-09 18:10:22
admission-face-turn,Admission Enquiry → Face Detection Turn Point,ground,junction,,1,The user confirms a right turn after 20 straight steps but supplies no unique map coordinate.,,,,2026-09-09 18:10:22,2026-09-09 18:10:22
admission-section-counters,Admission Section Counters,ground,location,,1,The user identifies the Admission Section counters but supplies no 3D anchor.,,,,2026-09-09 18:10:22,2026-09-09 18:10:22
admission-section-end,Admission Section End,ground,location,,1,The user identifies the end of the Admission Section but supplies no 3D anchor.,,,,2026-09-09 18:10:22,2026-09-09 18:10:22
admission-section-start,Admission Section Starts,ground,location,,1,The user identifies the start of the Admission Section after Delegates Lounge but supplies no 3D anchor.,,,,2026-09-09 18:10:22,2026-09-09 18:10:22
amphitheatre,Amphitheatre,ground,location,amphitheater,0,,,,,2026-09-09 18:10:22,2026-09-09 18:10:22
amphitheatre-63-end,Amphitheatre 63-Step End,ground,endpoint,,1,The user identifies this as the end of the 63-step Amphitheatre segment; no unique map anchor is supplied.,,,,2026-09-09 18:10:22,2026-09-09 18:10:22
amphitheatre-route,Amphitheatre Route,ground,junction,,1,The user identifies this as the 5-step endpoint before the 63-step Amphitheatre segment; no unique map anchor is supplied.,,,,2026-09-09 18:10:22,2026-09-09 18:10:22
atm,ATM,ground,location,,1,No current campus marker or unique image coordinate is supplied.,,,,2026-09-09 18:10:22,2026-09-09 18:10:22
basic-science-centre,Department of Basic Science Centre Point,floor-1,junction,,1,No current campus marker or unique image coordinate is supplied.,,,,2026-09-09 18:10:22,2026-09-09 18:10:22
basic-science-staircase,Department of Basic Science Staircase,floor-1,staircase,,1,No current campus marker or unique image coordinate is supplied.,,,,2026-09-09 18:10:22,2026-09-09 18:10:22
boys-hostel,Boys Hostel,ground,location,boys-hostel,0,,,,,2026-09-09 18:10:22,2026-09-09 18:10:22
boys-washroom,Boys Washroom,ground,room,,1,Retained as a legacy node; the clarified straight sequence identifies R106 as the Boys Washroom.,,,,2026-09-09 18:10:22,2026-09-09 18:10:22
bus-stop,Bus Stop,ground,location,bus-stop,0,,,,,2026-09-09 18:10:22,2026-09-09 18:10:22
cafeteria-crossing,Cafeteria 68-Step Continuation,ground,junction,,1,The user describes the entire cafeteria segment as 68 steps; no unique endpoint anchor is supplied.,,,,2026-09-09 18:10:22,2026-09-09 18:10:22
cafeteria-entrance-1,Cafeteria Entrance 1,ground,location,cafeteria,1,The document distinguishes two cafeteria entrances but the current map has one Cafeteria anchor.,,,,2026-09-09 18:10:22,2026-09-09 18:10:22
cafeteria-entrance-2,Cafeteria Entrance 2,ground,location,cafeteria,1,The document distinguishes two cafeteria entrances but the current map has one Cafeteria anchor.,,,,2026-09-09 18:10:22,2026-09-09 18:10:22
cafeteria-entrance-route,Cafeteria Entrance,ground,location,,1,The route document says Cafeteria Entrance without a unique map anchor or confirmation that it is Entrance 2.,,,,2026-09-09 18:10:22,2026-09-09 18:10:22
cafeteria-route,Cafeteria,ground,location,,1,This is the route-document Cafeteria node; it is kept separate from the current Canteen marker because no unique Cafeteria anchor was supplied.,,,,2026-09-09 18:10:22,2026-09-09 18:10:22
canteen-gate,Gate after Main Canteen,ground,gate,,1,The source mentions a gate after the canteen but gives no separate current map anchor.,,,,2026-09-09 18:10:22,2026-09-09 18:10:22
center-dome,Center Dome,ground,location,center-dome,0,,,,,2026-09-09 18:10:22,2026-09-09 18:10:22
center-dome-entrance,Center Dome Entrance / Main College Building Entrance,ground,location,,1,The user combines Center Dome Entrance with Main College Building Entrance; no unique anchor is supplied.,,,,2026-09-09 18:10:22,2026-09-09 18:10:22
civil-lift-centre,Civil Engineering Lift and Centre Point,floor-2,lift,,1,No current campus marker or unique image coordinate is supplied.,,,,2026-09-09 18:10:22,2026-09-09 18:10:22
